target_name,target_id,disease_name,disease_id,relation,resolved,flagged,flags,flag_mechanisms,findings
PRDX2,Gene::7001,hepatocellular carcinoma,Disease::MESH:D006528,GNBR::L::Gene:Disease,True,True,3,text_mining_only;absent_from_driver_cell;mouse_ko_normal,"⚑ Real evidence vs. text-mining: The PRDX2–hepatocellular carcinoma association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000167815/MONDO_0007256)
⚑ Present in the disease's driver cell: PRDX2 is not expressed in the cell type that drives hepatocellular carcinoma — its single-cell expression is confined to unrelated cell types (highest in Erythrocyte progenitors (1334), Erythrocytes (1334), Parietal cells (624)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000167815/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of PRDX2 produces no phenotype relevant to hepatocellular carcinoma — its 18 knockout phenotype(s) are in unrelated systems (e.g. echinocytosis, increased spleen weight, increased number of Heinz bodies, abnormal bone marrow cell morphology/development) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000167815?tab=mouse_phenotypes)"
EIF2AK2,Gene::5610,,Disease::MESH:D002289,GNBR::L::Gene:Disease,False,False,0,,
ACE,Gene::1636,asthma,Disease::MESH:D016535,Hetionet::DaG::Disease:Gene,True,True,3,text_mining_only;absent_from_driver_cell;mouse_ko_normal,"⚑ Real evidence vs. text-mining: The ACE–asthma association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000159640/MONDO_0004979)
⚑ Present in the disease's driver cell: ACE is not expressed in the cell type that drives asthma — its single-cell expression is confined to unrelated cell types (highest in Enterocytes (90), Late spermatids (55), Spermatogenic cell types (55)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000159640/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of ACE produces no phenotype relevant to asthma — its 88 knockout phenotype(s) are in unrelated systems (e.g. abnormal kidney vasculature morphology, increased body weight, abnormal kidney medulla morphology, decreased tumor growth/size) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000159640?tab=mouse_phenotypes)"
KLHL6,Gene::89857,nicotine dependence,Disease::MESH:D014029,Hetionet::DuG::Disease:Gene,True,True,3,not_expressed_in_tissue;absent_from_driver_cell;mouse_ko_normal,"⚑ Expressed in the affected tissue: KLHL6 is not expressed in the tissue affected by nicotine dependence (Brain_Nucleus_accumbens_basal_ganglia 0.21 TPM, Brain_Amygdala 0.27 TPM, Brain_Anterior_cingulate_cortex_BA24 0.15 TPM, Brain_Caudate_basal_ganglia 0.26 TPM, Brain_Putamen_basal_ganglia 0.16 TPM, Brain_Frontal_Cortex_BA9 0.14 TPM, Brain_Cortex 0.14 TPM, Brain_Hippocampus 0.31 TPM, Brain_Substantia_nigra 0.61 TPM; below 1 TPM), nor in its driver cell type — its RNA is highest in Spleen (16), Lung (11), Small_Intestine_Terminal_Ileum (9). A real absence, but weigh it against the drug's actual site of action (a drug can act on a different organ, e.g. a diuretic on the kidney).  (sources: https://gtexportal.org/home/gene/KLHL6 | https://www.proteinatlas.org/ENSG00000172578/single+cell)
⚑ Present in the disease's driver cell: KLHL6 is not expressed in the cell type that drives nicotine dependence — its single-cell expression is confined to unrelated cell types (highest in Plasma cells (284), Platelets (168), Macrophages (134)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000172578/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of KLHL6 produces no phenotype relevant to nicotine dependence — its 30 knockout phenotype(s) are in unrelated systems (e.g. increased CD4-positive, alpha-beta T cell number, small spleen, abnormal kidney morphology, abnormal spleen morphology) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000172578?tab=mouse_phenotypes)"
FOXC1,Gene::2296,glioma,Disease::MESH:D005910,GNBR::L::Gene:Disease,True,True,2,absent_from_driver_cell;mouse_ko_normal,"⚑ Present in the disease's driver cell: FOXC1 is not expressed in the cell type that drives glioma — its single-cell expression is confined to unrelated cell types (highest in Lacrimal acinar cells (389), Acinar cells (389), Salivary acinar cells (329)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000054598/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of FOXC1 produces no phenotype relevant to glioma — its 209 knockout phenotype(s) are in unrelated systems (e.g. abnormal cartilage development, abnormal metatarsal bone morphology, abnormal iridocorneal angle, ectopic ureter) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000054598?tab=mouse_phenotypes)"
SPARC,Gene::6678,benign neoplasm of stomach,Disease::MESH:D013274,GNBR::L::Gene:Disease,True,True,2,absent_from_driver_cell;mouse_ko_normal,"⚑ Present in the disease's driver cell: SPARC is not expressed in the cell type that drives benign neoplasm of stomach — its single-cell expression is confined to unrelated cell types (highest in Hepatic stellate cells (3983), Stellate cells (3983), Platelets (2264)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000113140/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of SPARC produces no phenotype relevant to benign neoplasm of stomach — its 42 knockout phenotype(s) are in unrelated systems (e.g. increased circulating creatine kinase level, posterior subcapsular cataract, abnormal coat/hair pigmentation, abnormal bone remodeling) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000113140?tab=mouse_phenotypes)"
IL13RA2,Gene::3598,glioma,Disease::MESH:D005910,GNBR::L::Gene:Disease,True,True,2,absent_from_driver_cell;mouse_ko_normal,"⚑ Present in the disease's driver cell: IL13RA2 is not expressed in the cell type that drives glioma — its single-cell expression is confined to unrelated cell types (highest in Early spermatids (355), Spermatogenic cell types (355), Late primary spermatocytes (184)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000123496/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of IL13RA2 produces no phenotype relevant to glioma — its 13 knockout phenotype(s) are in unrelated systems (e.g. abnormal bone marrow cell morphology/development, increased IgG2a level, increased IgA level, decreased circulating potassium level) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000123496?tab=mouse_phenotypes)"
CRP,Gene::12944,obesity disorder,Disease::MESH:D009765,GNBR::J::Gene:Disease,True,True,2,text_mining_only;mouse_ko_normal,"⚑ Real evidence vs. text-mining: The CRP–obesity disorder association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000132693/MONDO_0011122)
⚑ Mouse-knockout phenotype: The mouse knockout of CRP produces no phenotype relevant to obesity disorder — its 5 knockout phenotype(s) are in unrelated systems (e.g. abnormal hepatocyte morphology, abnormal circulating aspartate transaminase level, increased circulating alanine transaminase level, increased susceptibility to injury) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000132693?tab=mouse_phenotypes)"
HAND2,Gene::15111,familial adenomatous polyposis 1,Disease::MESH:D011125,GNBR::Te::Gene:Disease,True,True,2,absent_from_driver_cell;mouse_ko_normal,"⚑ Present in the disease's driver cell: HAND2 is not expressed in the cell type that drives familial adenomatous polyposis 1 — its single-cell expression is confined to unrelated cell types (highest in Endometrial stromal cells (270), Stromal cells (270), Decidual stromal cells (211)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000164107/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of HAND2 produces no phenotype relevant to familial adenomatous polyposis 1 — its 55 knockout phenotype(s) are in unrelated systems (e.g. abnormal atrioventricular cushion morphology, abnormal pharyngeal arch artery morphology, decreased palatal shelf size, abnormal interventricular septum morphology) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000164107?tab=mouse_phenotypes)"
NOP53,Gene::29997,polycystic ovary syndrome,Disease::MESH:D011085,Hetionet::DaG::Disease:Gene,True,False,0,,
S100A9,Gene::94195,"generalized epilepsy with febrile seizures plus, type 2",Disease::MESH:D012640,GNBR::J::Gene:Disease,True,True,2,absent_from_driver_cell;mouse_ko_normal,"⚑ Present in the disease's driver cell: S100A9 is not expressed in the cell type that drives generalized epilepsy with febrile seizures plus, type 2 — its single-cell expression is confined to unrelated cell types (highest in Esophageal apical cells (540719), Apical squamous epithelial cells (540719)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000163220/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of S100A9 produces no phenotype relevant to generalized epilepsy with febrile seizures plus, type 2 — its 2 knockout phenotype(s) are in unrelated systems (e.g. abnormal neutrophil physiology, abnormal neutrophil morphology) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000163220?tab=mouse_phenotypes)"
MAPK1,Gene::5594,,Disease::MESH:D020031,GNBR::L::Gene:Disease,False,False,0,,
THBS2,Gene::7058,carcinoma,Disease::MESH:D002277,GNBR::L::Gene:Disease,True,False,0,,
TIPE2,Gene::69769,systemic lupus erythematosus,Disease::MESH:D008180,GNBR::J::Gene:Disease,True,False,0,,
GADD45B,Gene::299626,hereditary disease,Disease::MESH:D004194,GNBR::J::Gene:Disease,True,True,1,mouse_ko_normal,"⚑ Mouse-knockout phenotype: The mouse knockout of GADD45B produces no phenotype relevant to hereditary disease — its 7 knockout phenotype(s) are in unrelated systems (e.g. increased T cell proliferation, glomerulonephritis, renal glomerular immunoglobulin deposits, abnormal T-helper 1 physiology) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000099860?tab=mouse_phenotypes)"
AHSG,Gene::11625,bone disorder,Disease::MESH:D001847,GNBR::Y::Gene:Disease,True,True,1,absent_from_driver_cell,"⚑ Present in the disease's driver cell: AHSG is not expressed in the cell type that drives bone disorder — its single-cell expression is confined to unrelated cell types (highest in Hepatocytes (1253)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000145192/single+cell)"
PGK1,Gene::5230,glioma,Disease::MESH:D005910,GNBR::L::Gene:Disease,True,True,2,text_mining_only;absent_from_driver_cell,"⚑ Real evidence vs. text-mining: The PGK1–glioma association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000102144/MONDO_0021042)
⚑ Present in the disease's driver cell: PGK1 is not expressed in the cell type that drives glioma — its single-cell expression is confined to unrelated cell types (highest in Esophageal apical cells (1662), Apical squamous epithelial cells (1662), Extravillous trophoblasts (975)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000102144/single+cell)"
KIF2A,Gene::3796,,Disease::MESH:C538231,GNBR::L::Gene:Disease,False,False,0,,
TNFSF9,Gene::21950,ovarian endometrioid stromal and related neoplasms,Disease::MESH:D009369,GNBR::L::Gene:Disease,True,True,2,not_expressed_in_tissue;absent_from_driver_cell,"⚑ Expressed in the affected tissue: TNFSF9 is not expressed in the tissue affected by ovarian endometrioid stromal and related neoplasms (Ovary 0.50 TPM; below 1 TPM), nor in its driver cell type — its RNA is highest in Cells_EBV-transformed_lymphocytes (130), Vagina (12), Esophagus_Mucosa (11). A real absence, but weigh it against the drug's actual site of action (a drug can act on a different organ, e.g. a diuretic on the kidney).  (sources: https://gtexportal.org/home/gene/TNFSF9 | https://www.proteinatlas.org/ENSG00000125657/single+cell)
⚑ Present in the disease's driver cell: TNFSF9 is not expressed in the cell type that drives ovarian endometrioid stromal and related neoplasms — its single-cell expression is confined to unrelated cell types (highest in Epididymal basal cells (70), Basal cells (70), pDCs (61)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000125657/single+cell)"
ADRB2,Gene::154,colorectal neoplasm,Disease::MESH:D015179,GNBR::L::Gene:Disease,True,True,2,absent_from_driver_cell;mouse_ko_normal,"⚑ Present in the disease's driver cell: ADRB2 is not expressed in the cell type that drives colorectal neoplasm — its single-cell expression is confined to unrelated cell types (highest in Basal keratinocytes (326), Basal cells (326), Breast lactating cells (231)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000169252/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of ADRB2 produces no phenotype relevant to colorectal neoplasm — its 25 knockout phenotype(s) are in unrelated systems (e.g. abnormal Muller cell morphology, abnormal liver morphology, increased tumor necrosis factor secretion, decreased b-wave amplitude) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000169252?tab=mouse_phenotypes)"
IL4,Gene::3565,lymphoma,Disease::MESH:D008223,GNBR::L::Gene:Disease,True,True,1,mouse_ko_normal,"⚑ Mouse-knockout phenotype: The mouse knockout of IL4 produces no phenotype relevant to lymphoma — its 45 knockout phenotype(s) are in unrelated systems (e.g. decreased IgG level, increased interferon-gamma secretion, autoimmune response, increased interleukin-13 secretion) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000113520?tab=mouse_phenotypes)"
C7,Gene::730,myocardial ischemia,Disease::MESH:D017202,Hetionet::DaG::Disease:Gene,True,True,2,absent_from_driver_cell;mouse_ko_normal,"⚑ Present in the disease's driver cell: C7 is not expressed in the cell type that drives myocardial ischemia — its single-cell expression is confined to unrelated cell types (highest in Leydig cells (981), Hepatic stellate cells (762), Stellate cells (762)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000112936/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of C7 produces no phenotype relevant to myocardial ischemia — its 7 knockout phenotype(s) are in unrelated systems (e.g. no abnormal phenotype detected, hyperactivity, abnormal coat/ hair morphology, increased exploration in new environment) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000112936?tab=mouse_phenotypes)"
CSNK1E,Gene::1454,colorectal neoplasm,Disease::MESH:D015179,GNBR::X::Gene:Disease,True,True,1,absent_from_driver_cell,"⚑ Present in the disease's driver cell: CSNK1E is not expressed in the cell type that drives colorectal neoplasm — its single-cell expression is confined to unrelated cell types (highest in Bergmann glia (117)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000213923/single+cell)"
REEP1,Gene::65055,,Disease::MESH:C537483,GNBR::U::Gene:Disease,False,False,0,,
PGBD2,Gene::267002,polycystic ovary syndrome,Disease::MESH:D011085,Hetionet::DdG::Disease:Gene,True,True,1,absent_from_driver_cell,"⚑ Present in the disease's driver cell: PGBD2 is not expressed in the cell type that drives polycystic ovary syndrome — its single-cell expression is confined to unrelated cell types (highest in Syncytiotrophoblasts (39), Trophoblast cells (39)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000185220/single+cell)"
SPP1,Gene::6696,alcoholic fatty liver disease,Disease::MESH:D005235,GNBR::Te::Gene:Disease,True,True,2,text_mining_only;absent_from_driver_cell,"⚑ Real evidence vs. text-mining: The SPP1–alcoholic fatty liver disease association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000118785/MONDO_0021104)
⚑ Present in the disease's driver cell: SPP1 is not expressed in the cell type that drives alcoholic fatty liver disease — its single-cell expression is confined to unrelated cell types (highest in Hofbauer cells (104895), Mononuclear phagocytes (104895)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000118785/single+cell)"
PARK7,Gene::11315,squamous cell carcinoma,Disease::MESH:D002294,GNBR::L::Gene:Disease,True,True,3,text_mining_only;absent_from_driver_cell;mouse_ko_normal,"⚑ Real evidence vs. text-mining: The PARK7–squamous cell carcinoma association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000116288/MONDO_0005096)
⚑ Present in the disease's driver cell: PARK7 is not expressed in the cell type that drives squamous cell carcinoma — its single-cell expression is confined to unrelated cell types (highest in Platelets (982)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000116288/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of PARK7 produces no phenotype relevant to squamous cell carcinoma — its 34 knockout phenotype(s) are in unrelated systems (e.g. abnormal dopamine level, increased dopamine level, abnormal behavioral response to xenobiotic, abnormal head morphology) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000116288?tab=mouse_phenotypes)"
EPS8,Gene::2059,Barrett esophagus,Disease::MESH:D001471,Hetionet::DuG::Disease:Gene,True,True,2,absent_from_driver_cell;mouse_ko_normal,"⚑ Present in the disease's driver cell: EPS8 is not expressed in the cell type that drives Barrett esophagus — its single-cell expression is confined to unrelated cell types (highest in Renal collecting duct intercalated cells (1398), Ductal cells (1398), Pericytes (1360)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000151491/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of EPS8 produces no phenotype relevant to Barrett esophagus — its 12 knockout phenotype(s) are in unrelated systems (e.g. short cochlear hair cell stereocilia, abnormal cell physiology, enhanced NMDA-mediated synaptic currents, decreased body weight) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000151491?tab=mouse_phenotypes)"
NUDT21,Gene::11051,hepatocellular carcinoma,Disease::MESH:D006528,GNBR::L::Gene:Disease,True,True,1,text_mining_only,"⚑ Real evidence vs. text-mining: The NUDT21–hepatocellular carcinoma association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000167005/MONDO_0007256)"
GSS,Gene::2937,inborn mitochondrial metabolism disorder,Disease::MESH:D030342,GNBR::Te::Gene:Disease,True,True,1,absent_from_driver_cell,"⚑ Present in the disease's driver cell: GSS is not expressed in the cell type that drives inborn mitochondrial metabolism disorder — its single-cell expression is confined to unrelated cell types (highest in Late spermatids (321), Spermatogenic cell types (321), Breast lactating cells (152)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000100983/single+cell)"
CFL1,Gene::1072,pancreas disorder,Disease::MESH:D010190,GNBR::L::Gene:Disease,True,True,3,text_mining_only;absent_from_driver_cell;mouse_ko_normal,"⚑ Real evidence vs. text-mining: The CFL1–pancreas disorder association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000172757/MONDO_0002356)
⚑ Present in the disease's driver cell: CFL1 is not expressed in the cell type that drives pancreas disorder — its single-cell expression is confined to unrelated cell types (highest in Hofbauer cells (3412), Extravillous trophoblasts (3158), Megakaryocytes (2825)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000172757/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of CFL1 produces no phenotype relevant to pancreas disorder — its 17 knockout phenotype(s) are in unrelated systems (e.g. decreased embryonic neuroepithelial cell proliferation, abnormal neural tube morphology, abnormal neural crest cell migration, decreased embryonic neuroepithelium thickness) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000172757?tab=mouse_phenotypes)"
EPAS1,Gene::2034,osteosarcoma,Disease::MESH:D012516,GNBR::L::Gene:Disease,True,True,3,text_mining_only;absent_from_driver_cell;mouse_ko_normal,"⚑ Real evidence vs. text-mining: The EPAS1–osteosarcoma association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000116016/MONDO_0009807)
⚑ Present in the disease's driver cell: EPAS1 is not expressed in the cell type that drives osteosarcoma — its single-cell expression is confined to unrelated cell types (highest in Vascular endothelial cells (1356), Endothelial cells (1356), Extravillous trophoblasts (1049)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000116016/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of EPAS1 produces no phenotype relevant to osteosarcoma — its 54 knockout phenotype(s) are in unrelated systems (e.g. hemorrhage, no abnormal phenotype detected, pulmonary artery hypoplasia, abnormal cardiovascular system physiology) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000116016?tab=mouse_phenotypes)"
SLAIN1,Gene::122060,pancreas disorder,Disease::MESH:D010190,Hetionet::DdG::Disease:Gene,True,True,2,not_causal_gene;absent_from_driver_cell,"⚑ Causal gene at the locus: At the GWAS loci for pancreas disorder, SLAIN1 is the top causal-gene prediction at only 0/1 — EDNRB (L2G 0.64) outranks SLAIN1 (L2G 0.06), so SLAIN1 may be an innocent bystander at the locus rather than the effector.  (sources: https://platform.opentargets.org/evidence/ENSG00000139737/MONDO_0002356)
⚑ Present in the disease's driver cell: SLAIN1 is not expressed in the cell type that drives pancreas disorder — its single-cell expression is confined to unrelated cell types (highest in Oligodendrocytes (1224), Glial cells (1224), Oligodendrocyte progenitor cells (349)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000139737/single+cell)"
TRAC,Gene::21473,bone inflammation disease,Disease::MESH:D007249,GNBR::J::Gene:Disease,True,True,1,text_mining_only,"⚑ Real evidence vs. text-mining: The TRAC–bone inflammation disease association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000277734/MONDO_0002614)"
FGF2,Gene::396413,corneal neovascularization,Disease::MESH:D016510,GNBR::J::Gene:Disease,True,True,3,text_mining_only;absent_from_driver_cell;mouse_ko_normal,"⚑ Real evidence vs. text-mining: The FGF2–corneal neovascularization association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000138685/MONDO_0006713)
⚑ Present in the disease's driver cell: FGF2 is not expressed in the cell type that drives corneal neovascularization — its single-cell expression is confined to unrelated cell types (highest in Choroid plexus epithelial cells (184), Ciliated cells (184), Bergmann glia (178)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000138685/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of FGF2 produces no phenotype relevant to corneal neovascularization — its 35 knockout phenotype(s) are in unrelated systems (e.g. limb grasping, increased circulating serum albumin level, abnormal stratification in cerebral cortex, abnormal myeloblast morphology/development) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000138685?tab=mouse_phenotypes)"
CLN5,Gene::1203,,Disease::MESH:D009472,GNBR::U::Gene:Disease,False,False,0,,
MME,Gene::4311,melanoma,Disease::MESH:D008545,GNBR::L::Gene:Disease,True,True,1,absent_from_driver_cell,"⚑ Present in the disease's driver cell: MME is not expressed in the cell type that drives melanoma — its single-cell expression is confined to unrelated cell types (highest in Podocytes (2388), Renal nephron cells (2388), Neutrophils (1432)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000196549/single+cell)"
EPO,Gene::13856,inherited thrombocytopenia,Disease::MESH:D013921,GNBR::J::Gene:Disease,True,True,3,not_expressed_in_tissue;absent_from_driver_cell;mouse_ko_normal,"⚑ Expressed in the affected tissue: EPO is not expressed in the tissue affected by inherited thrombocytopenia (Whole_Blood 0.05 TPM; below 1 TPM), nor in its driver cell type — its RNA is highest in Liver (12), Cervix_Endocervix (5), Pancreas (5). A real absence, but weigh it against the drug's actual site of action (a drug can act on a different organ, e.g. a diuretic on the kidney).  (sources: https://gtexportal.org/home/gene/EPO | https://www.proteinatlas.org/ENSG00000130427/single+cell)
⚑ Present in the disease's driver cell: EPO is not expressed in the cell type that drives inherited thrombocytopenia — its single-cell expression is confined to unrelated cell types (highest in Pancreatic acinar cells (22), Acinar cells (22), Extravillous trophoblasts (18)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000130427/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of EPO produces no phenotype relevant to inherited thrombocytopenia — its 30 knockout phenotype(s) are in unrelated systems (e.g. pale liver, thick ventricular wall, abnormal interventricular groove morphology, pericardial edema) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000130427?tab=mouse_phenotypes)"
HDAC6,Gene::15185,ovarian endometrioid stromal and related neoplasms,Disease::MESH:D009369,GNBR::L::Gene:Disease,True,True,2,absent_from_driver_cell;mouse_ko_normal,"⚑ Present in the disease's driver cell: HDAC6 is not expressed in the cell type that drives ovarian endometrioid stromal and related neoplasms — its single-cell expression is confined to unrelated cell types (highest in Early primary spermatocytes (125), Spermatogenic cell types (125), Proximal tubule cells (77)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000094631/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of HDAC6 produces no phenotype relevant to ovarian endometrioid stromal and related neoplasms — its 10 knockout phenotype(s) are in unrelated systems (e.g. increased bone mineral density, abnormal cell migration, no abnormal phenotype detected, increased bone mineral content) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000094631?tab=mouse_phenotypes)"
S100B,Gene::6285,sudden infant death syndrome,Disease::MESH:D003643,GNBR::J::Gene:Disease,True,True,2,text_mining_only;mouse_ko_normal,"⚑ Real evidence vs. text-mining: The S100B–sudden infant death syndrome association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000160307/EFO_0005303)
⚑ Mouse-knockout phenotype: The mouse knockout of S100B produces no phenotype relevant to sudden infant death syndrome — its 3 knockout phenotype(s) are in unrelated systems (e.g. increased circulating glucose level, increased circulating magnesium level, increased circulating creatine kinase level) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000160307?tab=mouse_phenotypes)"
